编号|汉语|英语
K1162|判读结果|Judgment results
K1163|样本编号|Sample No.
K1164|统计|Statistics
K1165|共 |Page 
K1166|页,当前在第|of 
K1167|页|pages
K1168|每页行数|Number of lines per page
K1169|设定|Setting
K1170|上一页|Previous page
K1171|下一页|Next page
K1172|跳转到|Jump to
K1173|错误|Error
K1174|检索测试结果数据失败！|Failed to retrieve the test result data!
K1175|项目名|Item name
K1176|比值|Ratio
K1177|判定结果|Judgment results
K1178|显色值|Gray value
K1179|位置：|Position
K1180|提示|Prompt
K1181|确定|OK
K1182|无图片信息|No picture information
K1183|关闭|Close
K1184|完整图像|Full image
K1185|检测结果|Test results
K1186|用户管理|User management
K1187|权限组名|Authority group name
K1188|周维护浸泡时间：|Soak time of weekly maintenance:
K1189|月维护浸泡时间：|Soak time of monthly maintenance:
K1190|月维护泵充灌量：|Pump filling volume of monthly maintenance:
K1191|周维护泵充灌量：|Pumping filling volume of weekly maintenance:
K1192|月维护泵校准量：|Pump calibration volume of monthly maintenance:
K1193|泵校准下限值：|Lower limit of pump calibration:
K1194|泵校准上限值：|Upper limit of pump calibration:
K1195|系统液充灌体积：|System liquid filling volume:
K1196|系统液清洗体积：|System liquid cleaning volume:
K1197|关机排空液量：|Shutdown emptying fluid volume:
K1198|泵回流指定液量：|Pump backflow-specified liquid volume:
K1199|测试报告保存根目录：|Root directory for saving test reports:
K1200|测试图像保存根目录：|Root directory for saving test images:
K1201|时序选择：|Time sequence selection:
K1202|样本针吸样液位探测选择：|Selection of sample suction liquid level detection with sample needle
K1203|样本针吐样液位探测选择：|Selection of sample discharge liquid level detection with sample needle
K1204|当前使用的膜条所属公司：|Manufacturing company of the strip in current use:
K1205|蜂鸣器声音使能：|Enable buzzer sound:
K1206|废液桶使能：|Enable waste liquid container:
K1207|分钟|Minute
K1208|默认值|Default value
K1209|LIS设置|LIS settings
K1210|启动LIS|Start LIS
K1211|实时模式|Real-time mode
K1212|端    口：|Port:
K1213|IP 地 址：|IP address:
K1214|通信协议：|Communication protocol:
K1215|显示字符|Display character
K1216|名称|Name
K1217|系统液管路清洗|System liquid pipeline cleaning
K1218|清洗液量：|Cleaning liquid volume:
K1219|管路回流|Pipeline backflow
K1220|请选择泵|Please select a pump
K1221|号泵|Pump No.
K1222|开始|Start
K1223|运行设置|Operation settings
K1224|磨合时间：|Time of running-in:
K1225|手动停止|Manual stop
K1226|孵育时间|Incubation time
K1227|开始孵育|Start incubation
K1228|停止并关闭|Stop and close
K1229|拍照|Take photos
K1230|读灰度值|Read gray value
K1231|显色值：|Gray value:
K1232|曝光值：|Exposure value:
K1233|修改曝光值|Modify exposure value:
K1234|照片|Photo
K1235|探测位置：|Detection position:
K1236|杯类型：|Cup type:
K1237|吸液量（ul）：|Sucked liquid volume (ul):
K1238|探测次数：|Number of detection:
K1239|保存结果：|Save results:
K1240|充灌量：|Filling volume:
K1241|校准结果|Calibration results
K1242|开始校准|Start calibration
K1243|停止校准|Stop calibration
K1244|下限值：|Lower limit:
K1245|上限值：|Upper limit:
K1246|发布版本|Released version
K1247|完整版本|Full version
K1248|软件发布版本：V1|Released software version: V1
K1250|模块名称|Module name
K1251|机器序号|Device No.
K1252|操作内容|Operation contents
K1253|操作员|Operator
K1254|操作时间|Operation time
K1255|解决方案|Solution
K1256|日志内容|Log content
K1256|检验人|Tested by
K1257|操作日志|Operation log
K1258|运行日志|Operation log
K1259|成功|Succeeded
K1260|询问|Inquiry
K1261|异常|Abnormal
K1262|导出膜条数据文件成功！|Strip data file exported successfully!
K1263|检索测试膜条数据失败！|Failed to retrieve the test strip data!
K1264|请先选择膜条！|Please select strip first!
K1265|请先选择膜条厂家！|Please select strip manufacturer first!
K1266|导入膜条数据文件成功！|Strip data file imported successfully!
K1267|追加测试膜条数据失败！|Failed to add the test strip data!
K1268|删除测试膜条数据失败！|Failed to delete the test strip data!
K1269|更新测试膜条数据失败！|Failed to update the test strip data!
K1270|已经存在相同名称的膜条，是否覆盖？|The strip with the same name has already existed. Overwrite?
K1271|警告|Warning
K1272|检索膜条数据失败|Failed to retrieve the strip data!
K1273|文件格式不正确！|Incorrect file format!
K1274|即将删除膜条厂家，确定是否删除？|The strip manufacturer is about to be deleted. Are you sure to delete it?
K1275|检索规制失败！|Failed to retrieve the rules!
K1276|该膜条名称已经存在，请重新输入！|The strip name has existed. Please enter another name!
K1277|计算区间不能大于3.0！|Calculation interval cannot be greater than 3.0!
K1278|更新系统参数成功， 需重启软件后更改才生效。|The system parameters are updated successfully. The changes will take effect after restarting the software.
K1279|请输入全部项目名称！|Please enter the full item name!
K1280|请输入功能条位置！|Please enter the function bar location!
K1281|请输入膜条总长度！|Please enter total strip length!
K1282|请输入膜条名称！|Please enter strip name!
K1283|更新参数失败！|Failed to update parameters!
K1284|更新膜条所属公司失败！|Failed to update the strip manufacturing company!
K1285|更新测试报告保存根目录失败！|Failed to update the root directory for saving test reports!
K1286|更新测试图像保存根目录失败！|Failed to update the root directory for saving test images!
K1287|更新Cut Off条灰度阈值失败！|Failed to update the cutoff line gray threshold!
K1288|更新功能条灰度阈值失败！|Failed to update the function bar gray threshold!
K1289|泵校准下限值不能大于上限值！|The lower limit of pump calibration cannot be greater than the upper limit!
K1290|检索试剂厂家失败！|Failed to retrieve the reagent manufacturer!
K1291|删除数据失败！|Failed to delete data!
K1292|是否删除当前选择规则？|Delete the current rule?
K1293|请先选择规则!|Please select a rule first!
K1294|修改数据失败!|Failed to modify data!
K1295|显示字符已经存在！|The displayed character has already existed!
K1296|显示值已经存在！|The displayed value has already existed!
K1297|显示字符输入异常!|Abnormal entry of displayed characters!
K1298|灰度值输入异常!|Abnormal entry of gray value!
K1299|是否修改当前选择规则？|Modify the current rule?
K1300|请选择需要修改的规则!|Please select the rule for modification!
K1301|添加数据失败!|Failed to add data!
K1302|当前规则符号已经存在!|The current rule symbol has already existed!
K1303|当前规则灰度值已经存在!|The current rule gray value has already existed!
K1304|检索样本数据失败!|Failed to retrieve the sample data!
K1305|概述操作，只能选择一个项目,当前选择的项目有：|In overview operation, you can only select one item with the current selected items as follows:
K1306|请选择检测结果!|Please select a test result!
K1307|排版要求，选择数量不要超出27！当前已选择：|As per typesetting requirements, the selected number should not exceed 27! Currently selected items:
K1308|手动上传设置成功|Settings are manually uploaded successfully
K1309|手动上传设置失败|Failed to manually upload settings
K1310|请启动LIS工具|Please start the LIS tool
K1311|已经到最后一页|Already to the last page
K1312|每页数量输入异常。|Abnormal entry of number per page
K1313|输入异常|Abnormal entry
K1314|请输入数字|Please enter a number
K1315|请输入跳转页面|Please enter a number to jump to another page
K1316|目标页超总页数，请重新输入！|The target page exceeds the total number of pages, please re-enter!
K1317|设置成功|Setting succeeded
K1318|用户名长度不能大于16个字符|The length of user name cannot exceed 16 characters
K1319|密码不能大于9个字符|The length of password cannot be exceed 9 characters
K1320|确认关机？|Confirm shutdown?
K1321|当前状态不允许运行设备，请先进行初始化操作|The current status does not allow the device to run, please initialize first.
K1322|开始周维护<br>请先将泵管头放到足量的系统液中，再点击【确认】按钮进行下一步！|Start weekly maintenance<br> Please put the pump nozzle into sufficient system liquid first, and then click the [OK] button to proceed to the next step!
K1323|开始月维护<br>请先将泵管头放到足量的系统液中，再点击【确认】按钮进行下一步！|Start monthly maintenance<br>Please put the pump nozzle into sufficient system liquid first, and then click the [OK] button to proceed to the next step!
K1324|通讯异常|Abnormal communication
K1325|自检进行中......|Initializing...
K1326|注销|Logout
K1327|确认注销|Confirm to log off
K1328|关机|Shutdown
K1329|确定，执行关机维护。<br>取消，直接退出软件。|OK, perform shutdown for maintenance.<br>Cancel, exit the software directly.
K1330|<br>关机流程执行失败，是否继续关机！！<br>|<br> Failed to execute the shutdown process. Do you want to continue the shutdown!!<br>
K1331|软件退出提示|Software exit prompt
K1332|关机维护|Shutdown for maintenance
K1333|退出软件|Exit the software
K1334|当前状态不允许初始化|The current status does not allow initialization
K1335|是否要进行初始化操作|Do you want to perform the initialization
K1336|确定返回主界面|Back to the main interface
K1337|确定要停止运行|Confirm to stop running
K1338|周维护未完成，不能关闭。|Weekly maintenance is not completed and you cannot shut down the device.
K1339|月维护未完成，不能关闭。|Monthly maintenance is not completed and you cannot shut down the device.
K1340|当前状态不允许进行维护！|The current status does not allow maintenance!
K1341|忽略|Skip
K1342|上盖打开报警|Alarm indicating an open cover
K1343|设备开盖|Device cover is open
K1344|系统液充灌失败|Failed to fill the system liquid
K1345|请将泵管头放到足量的纯水中|Please put the pump nozzle into a sufficient amount of pure water
K1346|清水充灌失败!!|Failed to fill with clear water!!
K1347|蠕动泵校准失败!!|Failed to calibrate peristaltic pump!!
K1348|请将泵管头放到洁净的空杯中|Please put the pump nozzle into a clean empty cup
K1349|检索用户失败！|Failed to retrieve users!
K1350|检索数据失败！|Failed to retrieve data!
K1351|用户名不能为空或不能为空格！|User name cannot be null or blank!
K1352|密码不能为空或不能为空格|Password cannot be null or blank
K1353|用户名已经存在|The user name has already existed
K1354|不能删除admin!|No authority to delete admin!
K1355|样本编号长度不能大于20!|The length of sample number cannot exceed 20!
K1356|样本编号不能有中文符号!|Sample number cannot contain any Chinese symbol!
K1357|病人名字长度不能大于20!|The length of patient name cannot exceed 20!
K1358|年龄不能小于0!|Age cannot be less than 0!
K1359|年龄不能大于150!|Age cannot be more than 150!
K1360|批号长度不能大于15!|The length of lot number cannot exceed 15!
K1361|确定要取消项目选择？|Are you sure you want to cancel the selected items?
K1362|复孔数量不能小于1|The number of multiple holes cannot be less than 1
K1363|孵育时间输入异常|Abnormal entry of incubation time
K1364|孵育时间超出范围|Incubation time out of range
K1365|请输入孵育时间！|Please enter incubation time!
K1366|手动孵育完成|Manual incubation completed
K1367|托盘位置为必填不正确|Tray position is a mandatory item but is not correct
K1368|托盘位置为必填项|Tray position is a mandatory item
K1369|起始位置为必填项|Start position is a mandatory item
K1370|当前位置非法<br>建议从不大于:【|Illegal current location<br> It is recommended to never be greater: start ordering strip from the [
K1371|】位开始排膜条|] position
K1372|扫码开始位置不能为空|The start position of code scanning cannot be null
K1373|起始值不能大于结束值|Start value cannot be greater than end value
K1374|输入值不能大于72|Input value cannot be greater than 72
K1375|输入值不能小于1|Input value cannot be less than 1
K1376|是否删除所有样本信息？|Delete all sample information?
K1377|是否删除样本信息？|Delete the selected sample information?
K1378|保存成功|Saved successfully
K1379|获取项目信息失败|Failed to acquire item information.
K1380|无样本数据，请设置样本相关信息|No sample data, please set sample related information
K1381|样本缺少膜条信息，是否继续？|The sample has no strip information, are you sure to continue?
K1382|样本位置: |Sample location:  
K1383|膜条位置: |Location No.:   
K1384|无测试膜条信息,请给样本选择相应的膜条|No test strip information, please select a corresponding strip for the sample
K1385|当前测试数: |Current number of tests: 
K1386|大于机器最大测试量: |Greater than the maximum test capacity of the device: 
K1387|当前查找不到膜条信息，请重启软件或联系售后|Currently cannot find strip information, please restart the software or contact our after-sales service staff!
K1388|请确认是否误选膜条或样本编号未填写。|Please confirm whether you select the wrong strip or fail to fill in the sample number.
K1389|膜条位置设置错误，请重试！！|Incorrect strip location setting, please try again!!
K1390|请选择你要设置的样本|Please select the sample you want to set
K1391|请选择膜条类型|Please select strip type
K1392|样本编号输入格式不正确|Incorrect input format of sample number
K1393|样本编号长度不能大于20个字符。|The length of sample number cannot exceed 20 characters.
K1394|开始样本位未输入或输入格式不正确。|Failed to enter the start sample location or the format is not correct.
K1395|结束样本位未输入或输入格式不正确。|Failed to enter the end sample location or the format is not correct.
K1396|开始样本位不能大于结束样本位。|Start sample location cannot be greater than end sample location.
K1397|开始样本位输入超范围。|Start sample location entry out of range.
K1398|结束样本位输入超范围。|End sample location entry out of range.
K1399|数量输入格式不正确。|Incorrect entry of quantity format.
K1400|复孔数量大于1，但未选择复孔，是否要选择复孔？<br>是，将按照复孔方式添加，并勾选复孔。<br>否，按照普通方式添加，并改变数量输入为1。|The number of multiple holes is greater than 1, but no multiple holes are selected. Do you want to select multiple holes?<br> Yes, add in the multi-hole mode and check the multi-hole.<br> No, add in the general mode and change the quantity to 1.
K1401|合共样本位输入超72，已占用样本位：|Total entry of sample location exceeds 72, occupied sample locations:
K1402|还可以输入样本位：|You can also enter sample locations:
K1403|，请重新输入。|, please re-enter.
K1404|样本编号区间已经存在，请修改后再添加|The sample number interval has already existed, please modify before adding it.
K1405|单次样本输入超72，请重新输入|Single sample entry exceeds 72, please re-enter
K1406|确定要删除所有数据吗？|Are you sure you want to delete all data?
K1407|请选择要删除的行。|Please select a row to delete.
K1408|保存编辑数据更新提示|Prompt of saving the edited data updates
K1409|确定，将覆盖并删除前面已经添加样本信息。<br>取消，继续编辑样本信息。<br>|OK, overwrite and delete the previously added sample information.<br>; Cancel, continue to edit sample information.<br>;
K1410|确认退出批量样本添加窗口？|Are you sure you want to exit the Batch Sample Add window?
K1411|当前状态不允许运行，请先进行初始化操作|The current status does not allow operation, please initialize first.
K1412|请选择要进行试剂准备的位置|Please select the location for reagent preparation
K1413|请确保位置按钮处于选中状态，确保延时充灌可以正确进行。|Please make sure that the location button is selected to ensure the correct progress of delayed filling.
K1414|请选择要进行延时充灌的位置！|Please select the location for delayed filling!
K1415|获取试剂失败|Failed to obtain reagent
K1416|当前不足以支撑本次测试，某些试剂不能分配到对应泵！|Not enough to support this test, some reagents cannot be dispensed to the corresponding pump!
K1417|给未设置试剂位的试剂设置位置失败|Fail to set a position for the reagent that has not been assigned a reagent position
K1418|获取试剂失败:膜条: |Failed to obtain reagent: Strip: 
K1419|未添加关联试剂信息，请到试剂管理窗口添加！！ |Associated reagent information is not added, please add in the reagent management window!! 
K1420|不同试剂使用相同泵号不能同时检测，请到试剂管理重新设置试剂对应泵号！请返回重新编辑检验列表。 |The same pump number used for different reagents cannot be tested at the same time, please reset the pump number corresponding to reagents in the reagent management window! Please turn back and re-edit the test list. 
K1421|不同试剂使用相同泵号不能同时检测，请到试剂管理重新设置试剂对应泵号！ |The same pump number used for different reagents cannot be tested at the same time, please reset the pump number corresponding to reagents in the reagent management window! 
K1422|请选择要进行试剂准备的位置！ |Please select the location for reagent preparation! 
K1423|是否要取消本次测试？|Do you want to cancel this test?
K1424|检验完成！|Test completed!
K1425|异常退出！|Abnormal exit!
K1426|运行错误！|Operation error!
K1427|请查看报警信息，有未对反应槽加样异常，请手动加样完成后，点确定继续检测|Please check the alarm information. If there is any anomaly in the reaction tank, please click OK to continue the test after manual sample addition is completed.
K1428|找不到对应的膜条|Corresponding strip not found
K1429|生成指示图失败|Failed to generate indicator cart
K1430|连接相机失败！|Failed to connect camera!
K1431|拍照分析数据保存完成|Saved photo analysis data successfully
K1432|确定要暂停运行|Confirm to pause operation
K14321|确定要继续运行|Confirm to continue operation
K1433|当前状态不允许启动测试|The current status does not allow the startup of test
K1434|启动测试失败，请重试！|Failed to start test, please try again!
K1435|坐标输入异常！|Abnormal entry of coordinates!
K1436|曝光时间设置超范围！|Exposure time setting is out of range!
K1437|设置相机参数曝光时间成功，请重新拍照显示！|Set the camera parameter (exposure time) successfully, please take a photo again for display!
K1438|吸液量输入异常！|Abnormal entry of liquid absorption!
K1439|探测次数输入异常！|Abnormal entry of detection times!
K1440|是否进行开机初始化？|Do you want to perform boot initialization?
K1441|是否进行关机流程？|Do you want to perform shutdown process?
K1442|月维护失败!|Monthly maintenance failed!!
K1443|清水充灌失败!|Failed to fill with clear water!!
K1444|蠕动泵校准失败!|Failed to calibrate peristaltic pump!!
K1445|请将泵管头放到洁净的空杯中|Please put the pump nozzle into a clean empty cup
K1446|月维护完成!|Monthly maintenance completed!!
K1447|请输入时间|Please enter time
K1448|磨合时间输入异常！|Abnormal entry of running-in time!
K1449|将泵管头放到正确的容器内！|Put the pump nozzle in the correct container!
K1500|管路回流完成！|Pipeline backflow completed!
K1501|将系统液管头放到足量的纯水中|Put the system liquid nozzle into a sufficient amount of pure water
K1502|将系统液管头放到空杯中|Put the system liquid nozzle into an empty cup
K1503|关机维护完成|Emptying completed before shutdown
K1504|蠕动泵管路清洗完成|Peristaltic pump pipeline cleaning completed
K1505|蠕动泵管路排空完成|Peristaltic pump pipeline emptying completed
K1506|管路清洗完成|Pipeline cleaning completed
K1507|请选择您要校准的泵|Please select the pump you want to calibrate
K1508|目标设定值（|Target setting (
K1509|）超出范围（30-130），校准停止|) out of range (30-130), calibration stops
K1510|是否进行一下步校准？|Perform the next calibration step?
K1511|未检测到液体！|No liquid detected!
K1512|液位探测失败！|Failed to detect liquid level!
K1513|自动校准泵操作完成！|Automatic pump calibration completed!
K1514|泵号:|Pump No.:
K1515|第一次下降步数:|First decrement of steps:
K1516|第二次下降步数:|Second decrement of steps:
K1517|两次下降步数差:|Difference of steps between two decrements:
K1518|设置标准:|Setting criteria:
K1519|手动校准泵操作完成|Manual pump calibration completed
K1520|下限值或上限值输入异常|Abnormal entry of lower limit or upper limit
K1521|系统液充灌进行中......|Filling system liquid...
K1522|系统液充灌完成！|System liquid filling completed!
K1523|周维护失败!|Weekly maintenance failed!!
K1524|周维护完成!|Weekly maintenance completed!!
K1525|请输入公司名称|Please enter company name
K1526|追加膜条公司失败！|Failed to add a strip manufacturing company!
K1527|检索试剂数据失败！|Failed to retrieve reagent data!
K1528|请输入试剂名称！|Please enter reagent name!
K1529|请选择关联膜条！|Please select associated strip!
K1530|泵号输入不能为空！|Pump number cannot be null!
K1531|泵号输入异常|Abnormal entry of pump number
K1532|大充灌输入异常！|Abnormal entry of large filling volume!
K1533|小充灌输入异常！|Abnormal entry of small filling volume!
K1534|小充灌量不能大于大充灌！|Small filling volume cannot be greater than large filling volume!
K1535|试剂名称已经存在，不允许操作！|The reagent name has already existed, operation not allowed!
K1536|追加试剂数据失败！|Failed to reagent data!
K1537|更新试剂数据失败！|Failed to update reagent data!
K1538|请先选择试剂厂家!|Please select reagent manufacturer first!
K1539|请先选择试剂!|Please select reagent first!
K1540|是否删除选择试剂？|Delete the selected reagent?
K1541|通用试剂不能删除!|General reagents cannot be deleted!
K1542|删除试剂数据失败|Failed to delete reagent data
K1543|检索样本管数据失败!|Failed to retrieve the sample tube data!
K1544|请先选择样本管!|Please select a sample tube first!
K1545|删除样本管数据失败|Failed to delete sample tube data
K1546|导出试管文件成功！|Exported sample tube file successfully! 
K1547|追加试管数据失败！|Failed to append sample tube data!
K1548|更新试管数据失败|Failed to update sample tube data
K1549|导入试管文件成功|Imported sample tube file successfully
K1550|pos|pos
K1551|测试次数|Number of tests
K1552|复孔设置|Multiple hole settings
K1553|编号|No.
K1554|膜条类型|Strip type
K1555|样本位置|Sample location
K1556|膜条类型选择|Strip type selection
K1557|开始样本编号|Start sample No.
K1558|结束样本位置|End sample location
K1559|是否复孔|Multiple holes or not
K1560|数量|Quantity
K1561|批量添加并保存|Add in batch and save
K1562|样本列表|Sample list
K1563|删除所有|Delete all
K1564|完成|Complete
K1565|自检结果显示|Self-checking result display
K1566|关闭阀|Close valve
K1567|关闭摇床加热|Turn off shaking table heating
K1568|打开指示灯|Turn on indicator light
K1569|关闭报警指示灯|Turn off alarm indicator
K1570|关闭背光灯|Turn off backlight
K1571|关闭蜂鸣器|   Turn off buzzer
K1572|XYZ电机初始化|XYZ motor initializing
K1573|柱塞泵电机初始化|Plunger pump motor initializing
K1574|摇床电机初始化|Shaking table motor initializing
K1575|扫码器自检|Code scanner self-checking
K1576|扫码成功|Code scanned successfully
K1577|相机自检成功|Camera self-checking succeeded
K1578|软件退出提示.|Software exit prompt.
K1579|取消操作|Cancel operation
K1580|当前状态：暂停|Current status: Pause
K1581|当前状态：运行中|Current status: Running
K1582|当前进度:|Current progress:
K1583|正在进行判读，请勿打开设备上盖。|Judgment is in progress, please do not open the device cover.
K1584|测读|Test & read
K1585|测试错误|Test error
K1586|当前状态为|The current status is
K1587|语言选择|Language selection
K1588|未运行或未完成|Not running or not completed
K1589|添加膜条厂家|Add strip manufacturer
K1590|登录失败|Login failed
K1591|用户名或密码错误！|Incorrect user name or password!
K1592|数据上传LIS完成|Data successfully uploaded to LIS
K1593|请输入项目数量！|Please enter the number of items!
K1594|全部|All
K1595|确定退出软件|Confirm to exit the software
K1596|开始样本位置：|Start sample location:
K1597|结束样本位置：|End sample location:
K1598|开始样本编号：|Start sample No.:
K1599|润湿|Wetting
K1600|加样本|Sample addition
K1601|清洗|Cleaning
K1602|加酶|Enzyme addition
K1603|二次清洗|Secondary cleaning
K1604|加底物|Substrate addition
K1605|加蒸馏水|Distilled water addition
K1606|加终止液|Stop solution addition
K1607|干燥|Drying
K1608|拍照|Take photos
K1609|标准杯|Standard flask
K1610|采血管|Blood collection tube
K1611|微量杯|Trace element flask
K1612|男|Male
K1613|女|Female
K1614|请选择执行的步骤|Please select the execution sequence
K1615|正在清洗,请稍候......|Cleaning, please wait...
K1616|第一次清洗|First cleaning
K1617|液位检测进行中......|Liquid level detection in progress...
K1618|正在进行泵校准......|Pump calibration in progress...
K1619|校准成功<br>泵号:|Calibration succeeded<br> Pump No.:
K1620|,  50ul对应步数:|, the number of steps corresponding to 50ul:
K1621|,  50ul步数由:|, change the number of steps corresponding to 50ul from:
K1622|，改为:|, to:
K1623|管路清洗进行中......|Cleaning pipeline...
K1624|开始周维护<br>请先将泵管头放到足量的系统液中，再点击【确认】按钮，开始周维护！|Start weekly maintenance<br> Please put the pump nozzle into sufficient system liquid first, and then click the [OK] button to start weekly maintenance!
K1625|开始月维护<br>请先将泵管头放到足量的系统液中，再点击【确认】按钮，开始月维护！|Start monthly maintenance<br> Please put the pump nozzle into sufficient system liquid first, and then click the [OK] button to start monthly maintenance!
K1626|周维护进行中......|Weekly maintenance in progress...
K1627|管路浸泡中......|Soaking pipeline...
K1628|管路浸泡中,剩余秒数：|Soaking pipeline, remaining seconds:
K1629|月维护进行中......|Monthly maintenance in progress...
K1630|样本编号未填写|Sample number not filled in
K1631|拍照完成，稍后请到“报告查询”查看结果。|The test is completed and please turn to Report->Report query to check the test results.
